State,District,Year,Target_Period,Target_Period_Type,KFD_Cases,Deaths,Outbreak_Label,Source_ID,Source_Document,Evidence_Status
Karnataka,Shivamogga,2020,2020,Calendar Year,185,4,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Uttara Kannada,2020,2020,Calendar Year,89,1,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Chikkamagaluru,2021,2021,Calendar Year,3,0,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Kodagu,2021,2021,Calendar Year,0,0,0,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Shivamogga,2021,2021,Calendar Year,15,0,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Uttara Kannada,2021,2021,Calendar Year,5,0,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Chikkamagaluru,2022,2022,Calendar Year,0,0,0,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Kodagu,2022,2022,Calendar Year,0,0,0,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Shivamogga,2022,2022,Calendar Year,35,1,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Uttara Kannada,2022,2022,Calendar Year,14,1,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Chikkamagaluru,2023,2023,Calendar Year,2,0,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Kodagu,2023,2023,Calendar Year,0,0,0,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Shivamogga,2023,2023,Calendar Year,15,0,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Uttara Kannada,2023,2023,Calendar Year,0,0,0,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Chikkamagaluru,2024,2024,Calendar Year,126,4,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Kodagu,2024,2024,Calendar Year,0,0,0,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Shivamogga,2024,2024,Calendar Year,63,1,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Uttara Kannada,2024,2024,Calendar Year,113,9,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
