Date,Temperature,Rainfall,Humidity,Temp_Anomaly,Temp_Moving_Avg,Rainfall_Anomaly
2020-01-01,18.69,0.0,62.35,-5.707076923076922,,-5.4178461538461535
2020-02-01,23.03,0.0,37.13,-1.3670769230769224,,-5.4178461538461535
2020-03-01,25.01,0.15,41.73,0.612923076923078,22.243333333333336,-5.267846153846153
2020-04-01,30.06,0.02,34.13,5.662923076923075,26.033333333333335,-5.397846153846154
2020-05-01,30.65,0.31,48.81,6.252923076923075,28.573333333333334,-5.107846153846154
2020-06-01,25.56,15.02,83.17,1.1629230769230752,28.756666666666664,9.602153846153847
2020-07-01,24.68,13.99,90.38,0.28292307692307617,26.963333333333328,8.572153846153846
2020-08-01,23.97,25.55,93.53,-0.4270769230769247,24.736666666666668,20.132153846153848
2020-09-01,24.23,9.84,91.09,-0.16707692307692312,24.293333333333333,4.422153846153846
2020-10-01,23.89,3.35,82.72,-0.507076923076923,24.03,-2.0678461538461534
2020-11-01,21.22,0.07,75.39,-3.1770769230769247,23.113333333333333,-5.347846153846153
2020-12-01,20.28,0.65,65.27,-4.117076923076922,21.796666666666667,-4.767846153846153
,24.27,5.77,67.26,-0.12707692307692398,21.923333333333332,0.35215384615384604
2021-01-01,22.1,0.41,55.63,-2.297076923076922,22.21666666666667,-5.007846153846153
2021-02-01,23.34,0.27,33.47,-1.0570769230769237,23.236666666666665,-5.147846153846153
2021-03-01,27.93,0.02,24.32,3.532923076923076,24.456666666666667,-5.397846153846154
2021-04-01,29.36,0.41,38.51,4.962923076923076,26.876666666666665,-5.007846153846153
2021-05-01,28.37,6.11,61.15,3.9729230769230774,28.55333333333333,0.6921538461538468
2021-06-01,25.5,11.02,85.3,1.1029230769230765,27.743333333333336,5.602153846153846
2021-07-01,24.66,12.17,89.16,0.2629230769230766,26.176666666666666,6.752153846153846
2021-08-01,23.71,10.68,89.51,-0.6870769230769227,24.623333333333335,5.262153846153846
2021-09-01,23.73,15.41,92.37,-0.6670769230769231,24.03333333333333,9.992153846153847
2021-10-01,22.98,1.59,82.41,-1.4170769230769231,23.473333333333333,-3.8278461538461537
2021-11-01,22.06,1.08,78.77,-2.337076923076925,22.923333333333332,-4.3378461538461535
2021-12-01,19.15,2.28,73.72,-5.247076923076925,21.396666666666665,-3.1378461538461537
,24.41,5.14,67.23,0.012923076923076593,21.87333333333333,-0.27784615384615385
2022-01-01,18.47,0.04,61.79,-5.927076923076925,20.676666666666666,-5.3778461538461535
2022-02-01,22.08,0.0,38.98,-2.3170769230769253,21.653333333333332,-5.4178461538461535
2022-03-01,28.26,0.14,26.06,3.862923076923078,22.936666666666667,-5.277846153846154
2022-04-01,30.55,0.0,31.06,6.152923076923077,26.963333333333335,-5.4178461538461535
2022-05-01,29.27,0.36,57.19,4.872923076923076,29.360000000000003,-5.057846153846153
2022-06-01,26.88,6.93,74.02,2.4829230769230755,28.900000000000002,1.5121538461538462
2022-07-01,23.83,32.01,92.54,-0.5670769230769253,26.66,26.592153846153845
2022-08-01,23.58,16.22,91.59,-0.8170769230769253,24.763333333333332,10.802153846153846
2022-09-01,23.78,15.08,91.77,-0.6170769230769224,23.73,9.662153846153846
2022-10-01,22.13,4.8,84.02,-2.2670769230769245,23.163333333333338,-0.6178461538461537
2022-11-01,19.53,0.0,72.74,-4.867076923076922,21.813333333333333,-5.4178461538461535
2022-12-01,20.97,0.3,64.39,-3.4270769230769247,20.87666666666667,-5.117846153846154
,24.12,6.38,65.71,-0.27707692307692255,21.540000000000003,0.9621538461538464
2023-01-01,19.83,0.02,48.2,-4.567076923076925,21.64,-5.397846153846154
2023-02-01,23.96,0.0,20.69,-0.4370769230769227,22.636666666666667,-5.4178461538461535
2023-03-01,25.18,0.65,42.44,0.7829230769230762,22.99,-4.767846153846153
