State,District,Elevation
Karnataka,Shivamogga,677.8775989889841
Karnataka,Uttara Kannada,429.982020972934
Karnataka,Chikkamagaluru,890.5947155150526
Karnataka,Kodagu,682.7863867146641
Kerala,Wayanad,651.7235297761591
Kerala,Kannur,83.79522847380736
Goa,North Goa,71.22257531512109
Goa,South Goa,211.35777355593055
Maharashtra,Sindhudurg,145.36970527411776
