State,District,Year,Temperature,Min_Temperature,Max_Temperature,Rainfall,wspd,pres,Forest_Loss,Elevation,NDVI,State_ID,District_ID,Temp_Range,Rainfall_per_Elevation,Vegetation_Forest_Index,Temperature_Scaled,Rainfall_Scaled,NDVI_Scaled,Forest_Loss_Scaled,Elevation_Scaled,Target_Period,Target_Period_Type,KFD_Cases,Deaths,Outbreak_Label,Source_ID,Source_Document,Evidence_Status
Karnataka,Shivamogga,2021,24.50686813186813,13.2,37.2,1779.7,8.926923076923076,1010.807967032967,0.0191438223433161,677.8775989889841,0.4326091281552182,1,4,24.000000000000004,2.6215329577090354,0.4243273358617178,-1.615757544531763,-1.2228504358175032,0.4894072177948164,1.282354595833814,1.126707070679264,2021,Calendar Year,15,0,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Shivamogga,2022,24.79600550964188,12.8,37.0,1452.4,9.242424242424242,1010.3842975206612,0.0191438223433161,677.8775989889841,0.4398749372340731,1,4,24.2,2.1394136471183924,0.4314540495823867,-1.455626074206579,-1.5979973457213492,0.5349313333602359,1.282354595833814,1.126707070679264,2022,Calendar Year,35,1,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Shivamogga,2023,25.86246575342465,13.0,39.3,751.4,11.691780821917808,1011.5665753424656,0.0191438223433161,677.8775989889841,0.4456296059385622,1,4,26.3,1.1068269171335443,0.4370985519315524,-0.8649938695598285,-2.401474228833467,0.5709873596472839,1.282354595833814,1.126707070679264,2023,Calendar Year,15,0,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Shivamogga,2024,25.99382022471909,13.9,41.0,1359.0,10.7688202247191,1010.7101123595504,0.0191438223433161,677.8775989889841,0.4210576745608059,1,4,27.1,2.001833617759498,0.412997021242724,-0.792246496722322,-1.7050511843556886,0.4170312851666112,1.282354595833814,1.126707070679264,2024,Calendar Year,63,1,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Uttara Kannada,2015,27.601680672268905,20.4,35.5,3006.5,9.943331978503364,1009.976557801537,0.0089878245480117,429.982020972934,0.5476245937625948,1,7,15.1,6.975929049691868,0.5427026399956804,0.0982266047710838,0.1832914189641606,1.210039605915029,-0.3483612452184565,0.2128019676255917,2015-16,NCDC Surveillance Season,1,,1,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,Verified
Karnataka,Uttara Kannada,2016,27.820394736842104,20.3,36.8,3210.2,9.943331978503364,1009.976557801537,0.0089878245480117,429.982020972934,0.4847767197580546,1,7,16.499999999999996,7.448570575526636,0.4804196316559085,0.2193558928989898,0.4167696516174249,0.8162646184122586,-0.3483612452184565,0.2128019676255917,2016-17,NCDC Surveillance Season,0,,0,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,Verified
Karnataka,Uttara Kannada,2017,28.04198717948718,22.1,36.8,3043.5,9.943331978503364,1009.976557801537,0.0089878245480117,429.982020972934,0.4968214518594582,1,7,14.699999999999996,7.061779498665292,0.4923561078184569,0.3420792983850536,0.2257003272026033,0.8917312003424889,-0.3483612452184565,0.2128019676255917,2017-18,NCDC Surveillance Season,0,,0,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,Verified
Karnataka,Uttara Kannada,2018,27.71925675675676,20.2,37.6,2738.6,9.943331978503364,1009.976557801537,0.0089878245480117,429.982020972934,0.4604093713063487,1,7,17.400000000000002,6.354325393476184,0.4562712926567868,0.1633431643424684,-0.1237720004163479,0.6635903635702735,-0.3483612452184565,0.2128019676255917,2018-19,NCDC Surveillance Season,0,,0,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,Verified
Karnataka,Uttara Kannada,2020,27.46934306569344,21.5,35.8,4865.3,9.943331978503364,1009.976557801537,0.0089878245480117,429.982020972934,0.496924746684355,1,7,14.299999999999995,11.288869983524313,0.4924584742475908,0.0249347471655017,2.3138232739267925,0.8923783967517087,-0.3483612452184565,0.2128019676255917,2020,Calendar Year,89,1,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
Karnataka,Uttara Kannada,2021,26.86868131868132,18.2,35.6,3241.7,11.202747252747251,1009.3953296703296,0.0089878245480117,429.982020972934,0.4864381593623923,1,7,17.400000000000002,7.5216594712742815,0.4820661385325854,-0.3077266660967089,0.4528745329555586,0.826674411421127,-0.3483612452184565,0.2128019676255917,2021,Calendar Year,5,0,1,KARNATAKA_HFW_2024_25,Karnataka Health and Family Welfare Annual Report 2024-25,Verified
