State,District,Year,Temperature,Min_Temperature,Max_Temperature,Rainfall,wspd,pres,Forest_Loss,Elevation,NDVI,State_ID,District_ID,Temp_Range,Rainfall_per_Elevation,Vegetation_Forest_Index,Temperature_Scaled,Rainfall_Scaled,NDVI_Scaled,Forest_Loss_Scaled,Elevation_Scaled,KFD_Season,KFD_AFI_Cases,Outbreak_Label,Target_Definition,Case_Definition,Source_ID,Source_Document,Source_Page,Evidence_Status,Zero_Basis
Kerala,Wayanad,2017,28.3336569579288,21.0,37.2,2142.3,7.203611111111112,1009.976557801537,0.016563322225584,651.7235297761591,0.5493259391510962,2,8,16.200000000000003,3.282094029511495,0.540227276614065,0.503613275177997,-0.8072431350807641,1.2206994296514155,0.8680120068891247,1.0302860795889262,2017-18,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Kerala,Wayanad,2018,28.03277027027028,20.0,36.7,2988.3,8.098005698005698,1009.976557801537,0.016563322225584,651.7235297761591,0.518279019082851,2,8,16.700000000000003,4.578201740367455,0.5096945966870221,0.3369747448468018,0.1624308208576835,1.0261741452959008,0.8680120068891247,1.0302860795889262,2018-19,5,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54,Verified,
Kerala,Kannur,2015,28.96969696969697,22.1,37.0,2513.8,5.897338403041825,1009.976557801537,0.0111795203424652,83.79522847380736,0.1851893695331661,2,1,14.9,29.64553601947656,0.1831190412092617,0.8558680512788671,-0.3814347726326159,-1.0608077083663887,0.0035522863535381,-1.0634687864023409,2015-16,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Kerala,Kannur,2016,28.916129032258063,20.0,39.1,2144.9,7.131908831908833,1009.976557801537,0.0111795203424652,83.79522847380736,0.1680506225871613,2,1,19.1,25.295055377585832,0.1661718972333841,0.8262007953521989,-0.8042630496369817,-1.1681909726592847,0.0035522863535381,-1.0634687864023409,2016-17,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Kerala,Kannur,2017,28.53719135802469,21.0,37.0,2914.5,7.203611111111112,1009.976557801537,0.0111795203424652,83.79522847380736,0.1867496359349361,2,1,16.0,34.371037763053714,0.1846618645810535,0.6163356876175703,0.0778422417226273,-1.051031818686913,0.0035522863535381,-1.0634687864023409,2017-18,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Kerala,Kannur,2018,28.272990353697747,20.0,36.6,3386.7,8.098005698005698,1009.976557801537,0.0111795203424652,83.79522847380736,0.16750321756137,2,1,16.6,39.93974732960508,0.1656306119332143,0.4700146010461586,0.6190716057818882,-1.1716207530711784,0.0035522863535381,-1.0634687864023409,2018-19,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Goa,North Goa,2015,28.903125,19.9,36.6,2083.5,9.943331978503364,1009.976557801537,0.0063713314701765,71.22257531512109,0.1660545182762567,0,3,16.700000000000003,28.84832049963998,0.1649965298981981,0.8189988388923556,-0.8746389135786138,-1.18069761608248,-0.7684831077893797,-1.1098198023123678,2015-16,191,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,
Goa,North Goa,2016,27.979938271604937,17.6,36.5,2860.6,9.943331978503364,1009.976557801537,0.0063713314701765,71.22257531512109,0.150451191503517,0,3,18.9,39.60811404908573,0.149492617092365,0.3077150701148836,0.0160627780995984,-1.2784606653861583,-0.7684831077893797,-1.1098198023123678,2016-17,79,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,
Goa,North Goa,2017,28.22712121212121,17.5,36.9,2374.5,9.943331978503364,1009.976557801537,0.0063713314701765,71.22257531512109,0.1519201069506673,0,3,19.4,32.87753157014405,0.1509521735922999,0.4446111297282712,-0.5410985812168073,-1.269257137486353,-0.7684831077893797,-1.1098198023123678,2017-18,58,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,
Goa,North Goa,2018,28.02528901734104,17.6,36.8,2185.4,8.28231707317073,1009.9969512195122,0.0063713314701765,71.22257531512109,0.1467921801668658,0,3,19.2,30.259236678624053,0.1458569185297928,0.3328314409244323,-0.7578424879165241,-1.3013862959851858,-0.7684831077893797,-1.1098198023123678,2018-19,16,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,
Goa,South Goa,2015,28.903125,19.9,36.6,2083.5,9.943331978503364,1009.976557801537,0.0041982583472109,211.3577735559305,0.2893456677993582,0,6,16.700000000000003,9.811272576048417,0.2881309199342902,0.8189988388923556,-0.8746389135786138,-0.4082137153676484,-1.1174064570070543,-0.593189881703531,2015-16,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Goa,South Goa,2016,28.036419753086417,17.6,36.5,3010.3,9.943331978503364,1009.976557801537,0.0041982583472109,211.3577735559305,0.274706621580213,0,6,18.9,14.175605392694283,0.2735533322131297,0.3389959191888191,0.1876469284589198,-0.4999350398086304,-1.1174064570070543,-0.593189881703531,2016-17,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Goa,South Goa,2017,28.297727272727272,17.5,36.9,2679.7,9.943331978503364,1009.976557801537,0.0041982583472109,211.3577735559305,0.2684390498031512,0,6,19.4,12.618798714680556,0.2673120733215978,0.4837145219834389,-0.1912823975851122,-0.5392046736232432,-1.1174064570070543,-0.593189881703531,2017-18,0,0,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,Case/affected village not listed for this district-season in NCDC AFI annexure
Goa,South Goa,2018,28.06083815028901,17.6,36.8,2314.4,8.28231707317073,1009.9969512195122,0.0041982583472109,211.3577735559305,0.2650402810681499,0,6,19.2,10.898588552918865,0.2639275734958084,0.352519434817072,-0.6099844024365481,-0.5604997474399527,-1.1174064570070543,-0.593189881703531,2018-19,1,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,52-53,Verified,
Maharashtra,Sindhudurg,2015,28.574812030075183,17.6,36.6,2434.6,9.943331978503364,1009.976557801537,0.0037790065371252,145.36970527411776,0.2889830828015331,3,5,19.0,16.633223353429166,0.2878910138425075,0.6371709513819845,-0.4722127599970667,-0.4104855010922849,-1.184724369227623,-0.836465025318631,2015-16,25,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54-55,Verified,
Maharashtra,Sindhudurg,2016,27.69620689655172,17.6,36.5,3016.6,9.943331978503364,1009.976557801537,0.0037790065371252,145.36970527411776,0.2395046144729804,3,5,18.9,20.60945599603813,0.2385995249692153,0.1505775785374,0.1948679047265462,-0.7204941299653086,-1.184724369227623,-0.836465025318631,2016-17,87,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54-55,Verified,
Maharashtra,Sindhudurg,2017,28.03818770226537,17.5,36.9,2223.8,9.943331978503364,1009.976557801537,0.0037790065371252,145.36970527411776,0.2279445694927376,3,5,19.4,15.193034623082143,0.2270831654745223,0.3399750534109854,-0.7138289182852753,-0.7929238921446583,-1.184724369227623,-0.836465025318631,2017-18,35,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54-55,Verified,
Maharashtra,Sindhudurg,2018,27.764119601328904,17.6,36.6,2266.0,9.943331978503364,1009.976557801537,0.0037790065371252,145.36970527411776,0.2145461944706545,3,5,19.0,15.48134564974554,0.2137354229992346,0.1881893233538748,-0.6654598391592679,-0.8768717589650548,-1.184724369227623,-0.836465025318631,2018-19,34,1,Reported KFD occurrence in NCDC AFI surveillance annexure,KFD cases listed in AFI surveillance affected-village annexure,NCDC_KFD_AFI_2014_2019,Kyasanur Forest Disease: A Public Health Concern,54-55,Verified,
