State,District,Year,Temperature,Min_Temperature,Max_Temperature,Rainfall,wspd,pres,Forest_Loss,Elevation,NDVI,State_ID,District_ID,Temp_Range,Rainfall_per_Elevation,Vegetation_Forest_Index,Temperature_Scaled,Rainfall_Scaled,NDVI_Scaled,Forest_Loss_Scaled,Elevation_Scaled
Karnataka,Shivamogga,2021.0,24.50686813186813,13.2,37.2,1779.7,8.926923076923076,1010.807967032967,0.0191438223433161,677.8775989889841,0.5868659691704522,1,4,24.000000000000004,2.6215329577090354,0.575631111317315,-1.615757544531763,-1.2228504358175032,0.0,1.282354595833814,1.126707070679264
Karnataka,Shivamogga,2022.0,24.79600550964188,12.8,37.0,1452.4,9.242424242424242,1010.3842975206612,0.0191438223433161,677.8775989889841,0.586865969170452,1,4,24.2,2.1394136471183924,0.5756311113173148,-1.455626074206579,-1.5979973457213492,-2.220446049250313e-16,1.282354595833814,1.126707070679264
Karnataka,Shivamogga,2023.0,25.86246575342465,13.0,39.3,751.4,11.691780821917808,1011.5665753424656,0.0191438223433161,677.8775989889841,0.586865969170452,1,4,26.299999999999997,1.1068269171335445,0.5756311113173148,-0.8649938695598285,-2.401474228833467,-2.220446049250313e-16,1.282354595833814,1.126707070679264
Karnataka,Shivamogga,2024.0,25.99382022471909,13.9,41.0,1359.0,10.7688202247191,1010.7101123595504,0.0191438223433161,677.8775989889841,0.586865969170452,1,4,27.1,2.001833617759498,0.5756311113173148,-0.792246496722322,-1.7050511843556886,-2.220446049250313e-16,1.282354595833814,1.126707070679264
Karnataka,Uttara Kannada,2015.0,27.601680672268905,20.4,35.5,3006.5,9.943331978503364,1009.976557801537,0.0089878245480117,429.982020972934,0.586865969170452,1,7,15.100000000000001,6.975929049691868,0.5815913208063491,0.09822660477108389,0.1832914189641606,-2.220446049250313e-16,-0.34836124521845657,0.21280196762559175
Karnataka,Uttara Kannada,2016.0,27.820394736842104,20.3,36.8,3210.2,9.943331978503364,1009.976557801537,0.0089878245480117,429.982020972934,0.586865969170452,1,7,16.499999999999996,7.448570575526636,0.5815913208063491,0.2193558928989898,0.4167696516174249,-2.220446049250313e-16,-0.34836124521845657,0.21280196762559175
Karnataka,Uttara Kannada,2017.0,28.04198717948718,22.1,36.8,3043.5,9.943331978503364,1009.976557801537,0.0089878245480117,429.982020972934,0.5868659691704522,1,7,14.699999999999996,7.061779498665292,0.5815913208063493,0.34207929838505363,0.22570032720260336,0.0,-0.34836124521845657,0.21280196762559175
Karnataka,Uttara Kannada,2018.0,27.71925675675676,20.2,37.6,2738.6,9.943331978503364,1009.976557801537,0.0089878245480117,429.982020972934,0.5868659691704522,1,7,17.400000000000002,6.354325393476184,0.5815913208063493,0.16334316434246848,-0.12377200041634791,0.0,-0.34836124521845657,0.21280196762559175
Karnataka,Uttara Kannada,2019.0,27.7324427480916,22.0,37.0,4671.3,9.943331978503364,1009.976557801537,0.0089878245480117,429.982020972934,0.5868659691704522,1,7,15.0,10.838735197015009,0.5815913208063493,0.17064589426414373,2.091463052352255,0.0,-0.34836124521845657,0.21280196762559175
Karnataka,Uttara Kannada,2020.0,27.46934306569344,21.5,35.8,4865.3,9.943331978503364,1009.976557801537,0.0089878245480117,429.982020972934,0.5868659691704522,1,7,14.299999999999997,11.288869983524313,0.5815913208063493,0.024934747165501755,2.3138232739267925,0.0,-0.34836124521845657,0.21280196762559175
Karnataka,Uttara Kannada,2021.0,26.86868131868132,18.2,35.6,3241.7,11.202747252747251,1009.3953296703296,0.0089878245480117,429.982020972934,0.5868659691704522,1,7,17.400000000000002,7.5216594712742815,0.5815913208063493,-0.3077266660967089,0.45287453295555863,0.0,-0.34836124521845657,0.21280196762559175
Karnataka,Uttara Kannada,2022.0,26.858402203856752,16.7,35.7,2810.6,11.269421487603308,1009.1011019283746,0.0089878245480117,429.982020972934,0.586865969170452,1,7,19.000000000000004,6.521385726613658,0.5815913208063491,-0.31341949551631865,-0.041246557357756626,-2.220446049250313e-16,-0.34836124521845657,0.21280196762559175
Karnataka,Uttara Kannada,2023.0,27.66493150684932,17.0,37.4,2327.1,14.733972602739724,1010.3693150684932,0.0089878245480117,429.982020972934,0.5868659691704522,1,7,20.4,5.399529183947429,0.5815913208063493,0.1332564899372366,-0.59542783123038,0.0,-0.34836124521845657,0.21280196762559175
Karnataka,Uttara Kannada,2024.0,27.62182320441989,17.7,36.9,3530.4,14.780112044817928,1009.4731092436976,0.0089878245480117,429.982020972934,0.586865969170452,1,7,19.2,8.191525001507458,0.5815913208063491,0.10938203999791012,0.783778635886327,-2.220446049250313e-16,-0.34836124521845657,0.21280196762559175
Karnataka,Chikkamagaluru,2021.0,25.06868131868132,13.7,35.2,2397.6,10.243956043956045,1011.7453296703296,0.0180343129189331,890.5947155150526,0.5868659691704522,1,0,21.500000000000004,2.6891141886310583,0.5762822446409593,-1.304611430026738,-0.5146216682355095,0.0,1.1042042426528922,1.9109213751693983
Karnataka,Chikkamagaluru,2022.0,27.481955922865016,14.6,39.6,2083.8,10.295592286501378,1011.841046831956,0.0180343129189331,890.5947155150526,0.5868659691704522,1,0,25.0,2.3371605548337504,0.5762822446409593,0.03192006113437347,-0.8742950575658694,0.0,1.1042042426528922,1.9109213751693983
Karnataka,Chikkamagaluru,2023.0,27.89301369863014,16.6,41.1,1164.2,12.41095890410959,1013.1602739726028,0.0180343129189331,890.5947155150526,0.5868659691704522,1,0,24.5,1.3057502245596757,0.5762822446409593,0.2595740798872723,-1.9283283552975439,0.0,1.1042042426528922,1.9109213751693983
Karnataka,Chikkamagaluru,2024.0,28.23609550561797,16.6,42.1,1842.9,11.873595505617978,1012.3323033707863,0.0180343129189331,890.5947155150526,0.5868659691704522,1,0,25.5,2.066970528123197,0.5762822446409593,0.4495813166471357,-1.1504114357994062,0.0,1.1042042426528922,1.9109213751693983
Karnataka,Kodagu,2015.0,30.15,25.4,35.2,4.1,9.943331978503364,1009.976557801537,0.0210771784153426,682.7863867146641,0.5868659691704522,1,2,9.800000000000004,0.005996024606016149,0.5744964904323536,1.5095492222397202,-3.258019556579096,0.0,1.5927873506051744,1.1448040701828843
