State,District,Year,Temperature,Min_Temperature,Max_Temperature,Rainfall,wspd,pres,Forest_Loss,Elevation,NDVI
Karnataka,Shivamogga,2021,24.50686813186813,13.2,37.2,1779.7,8.926923076923076,1010.807967032967,0.0191438223433161,677.8775989889841,0.4326091281552182
Karnataka,Shivamogga,2022,24.79600550964188,12.8,37.0,1452.4,9.242424242424242,1010.3842975206612,0.0191438223433161,677.8775989889841,0.4398749372340731
Karnataka,Shivamogga,2023,25.86246575342465,13.0,39.3,751.4,11.691780821917808,1011.5665753424656,0.0191438223433161,677.8775989889841,0.4456296059385622
Karnataka,Shivamogga,2024,25.993820224719094,13.9,41.0,1359.0,10.7688202247191,1010.7101123595504,0.0191438223433161,677.8775989889841,0.4210576745608059
Karnataka,Uttara Kannada,2015,27.601680672268905,20.4,35.5,3006.5,,,0.0089878245480117,429.982020972934,0.5476245937625948
Karnataka,Uttara Kannada,2016,27.820394736842104,20.3,36.8,3210.2,,,0.0089878245480117,429.982020972934,0.4847767197580546
Karnataka,Uttara Kannada,2017,28.04198717948718,22.1,36.8,3043.5,,,0.0089878245480117,429.982020972934,0.4968214518594582
Karnataka,Uttara Kannada,2018,27.71925675675676,20.2,37.6,2738.6,,,0.0089878245480117,429.982020972934,0.4604093713063487
Karnataka,Uttara Kannada,2019,27.7324427480916,22.0,37.0,4671.3,,,0.0089878245480117,429.982020972934,0.46138958115241
Karnataka,Uttara Kannada,2020,27.469343065693437,21.5,35.8,4865.3,,,0.0089878245480117,429.982020972934,0.496924746684355
Karnataka,Uttara Kannada,2021,26.86868131868132,18.2,35.6,3241.7,11.202747252747251,1009.3953296703296,0.0089878245480117,429.982020972934,0.4864381593623923
Karnataka,Uttara Kannada,2022,26.858402203856752,16.7,35.7,2810.6,11.269421487603308,1009.1011019283746,0.0089878245480117,429.982020972934,0.4946193277864882
Karnataka,Uttara Kannada,2023,27.66493150684932,17.0,37.4,2327.1,14.733972602739724,1010.3693150684932,0.0089878245480117,429.982020972934,0.4844306901026614
Karnataka,Uttara Kannada,2024,27.62182320441989,17.7,36.9,3530.4,14.780112044817928,1009.4731092436976,0.0089878245480117,429.982020972934,0.4695524654353369
Karnataka,Chikkamagaluru,2021,25.06868131868132,13.7,35.2,2397.6,10.243956043956045,1011.7453296703296,0.0180343129189331,890.5947155150526,0.4759768399516397
Karnataka,Chikkamagaluru,2022,27.481955922865016,14.6,39.6,2083.8,10.295592286501378,1011.841046831956,0.0180343129189331,890.5947155150526,0.4781795442385818
Karnataka,Chikkamagaluru,2023,27.89301369863014,16.6,41.1,1164.2,12.41095890410959,1013.1602739726028,0.0180343129189331,890.5947155150526,0.4739966484256022
Karnataka,Chikkamagaluru,2024,28.23609550561797,16.6,42.1,1842.9,11.873595505617978,1012.3323033707863,0.0180343129189331,890.5947155150526,0.4483606733775458
Karnataka,Kodagu,2015,30.15,25.4,35.2,4.1,,,0.0210771784153426,682.7863867146641,0.6255356456244917
Karnataka,Kodagu,2016,28.516013071895426,22.1,39.1,2101.2,,,0.0210771784153426,682.7863867146641,0.5228219866214697
Karnataka,Kodagu,2017,28.349127906976744,22.5,36.5,2828.8,,,0.0210771784153426,682.7863867146641,0.5592687125937575
Karnataka,Kodagu,2018,28.054140127388536,22.2,36.4,3160.9,,,0.0210771784153426,682.7863867146641,0.5283989828710366
Karnataka,Kodagu,2019,28.40704697986577,21.5,36.8,3615.1,,,0.0210771784153426,682.7863867146641,0.5316533270396362
Karnataka,Kodagu,2020,28.41043165467626,22.1,36.4,4243.5,,,0.0210771784153426,682.7863867146641,0.5600609919079161
Karnataka,Kodagu,2021,20.74862637362637,11.8,31.8,3310.9,9.242307692307692,1012.1642857142856,0.0210771784153426,682.7863867146641,0.5461669731120952
Karnataka,Kodagu,2022,20.871016483516485,11.0,33.0,2683.2,9.11510989010989,1011.7464285714286,0.0210771784153426,682.7863867146641,0.5577743673002072
Karnataka,Kodagu,2023,21.38041095890411,10.7,33.8,1781.7,10.74109589041096,1013.0435616438356,0.0210771784153426,682.7863867146641,0.5551105470938282
Karnataka,Kodagu,2024,21.9366391184573,13.2,35.5,2446.7,10.275211267605632,1012.2087323943662,0.0210771784153426,682.7863867146641,0.5359978520877539
Kerala,Wayanad,2015,28.943181818181817,22.1,37.0,2509.7,5.897338403041825,,0.016563322225584,651.7235297761591,0.6252137486228709
Kerala,Wayanad,2016,28.812749003984063,20.0,39.1,1805.5,7.131908831908833,,0.016563322225584,651.7235297761591,0.5152951323380763
Kerala,Wayanad,2017,28.3336569579288,21.0,37.2,2142.3,7.203611111111112,,0.016563322225584,651.7235297761591,0.5493259391510962
Kerala,Wayanad,2018,28.032770270270277,20.0,36.7,2988.3,8.098005698005698,,0.016563322225584,651.7235297761591,0.518279019082851
Kerala,Wayanad,2019,28.47873376623377,19.0,37.0,3228.3,8.486363636363636,,0.016563322225584,651.7235297761591,0.5192345240215671
Kerala,Wayanad,2020,27.816229508196724,21.0,37.4,3100.5,6.842372881355932,1008.8417582417582,0.016563322225584,651.7235297761591,0.553849741847372
Kerala,Wayanad,2021,24.98123287671233,17.9,32.2,3770.7,6.388767123287671,1010.5980821917808,0.016563322225584,651.7235297761591,0.5159121614095623
Kerala,Wayanad,2022,24.67287671232877,17.5,32.0,3177.9,7.434246575342466,1010.2884931506848,0.016563322225584,651.7235297761591,0.5352703556191689
Kerala,Wayanad,2023,25.166986301369864,17.0,33.0,2360.6,9.706027397260272,1011.5164383561644,0.016563322225584,651.7235297761591,0.539196559892608
Kerala,Wayanad,2024,25.508196721311474,18.3,34.4,3132.1,9.946994535519126,1010.795224719101,0.016563322225584,651.7235297761591,0.5161897824134937
Kerala,Kannur,2015,28.96969696969697,22.1,37.0,2513.8,5.897338403041825,,0.0111795203424652,83.79522847380736,0.1851893695331661
Kerala,Kannur,2016,28.916129032258063,20.0,39.1,2144.9,7.131908831908833,,0.0111795203424652,83.79522847380736,0.1680506225871613
Kerala,Kannur,2017,28.53719135802469,21.0,37.0,2914.5,7.203611111111112,,0.0111795203424652,83.79522847380736,0.1867496359349361
Kerala,Kannur,2018,28.272990353697747,20.0,36.6,3386.7,8.098005698005698,,0.0111795203424652,83.79522847380736,0.16750321756137
Kerala,Kannur,2019,28.610769230769236,19.0,37.0,3912.5,8.486363636363636,,0.0111795203424652,83.79522847380736,0.1655964384885078
Kerala,Kannur,2020,28.204024767801855,21.0,37.4,4362.1,6.842372881355932,1008.8417582417582,0.0111795203424652,83.79522847380736,0.1743123547513853
Kerala,Kannur,2021,28.5527397260274,20.9,35.7,3801.8,9.209041095890411,1009.4476712328768,0.0111795203424652,83.79522847380736,0.1713145316797961
Kerala,Kannur,2022,28.49958904109589,20.4,37.0,3296.6,9.525753424657534,1009.1501369863014,0.0111795203424652,83.79522847380736,0.169527784271988
Kerala,Kannur,2023,28.937534246575343,20.9,38.3,2965.2,12.492876712328766,1010.324383561644,0.0111795203424652,83.79522847380736,0.1739851999476855
Kerala,Kannur,2024,28.933060109289617,22.2,37.0,3777.5,12.651366120218578,1009.5269662921348,0.0111795203424652,83.79522847380736,0.1668994751914462
Goa,North Goa,2015,28.903125,19.9,36.6,2083.5,,,0.0063713314701765,71.22257531512109,0.1660545182762567
Goa,North Goa,2016,27.979938271604937,17.6,36.5,2860.6,,,0.0063713314701765,71.22257531512109,0.150451191503517
Goa,North Goa,2017,28.22712121212121,17.5,36.9,2374.5,,,0.0063713314701765,71.22257531512109,0.1519201069506673
Goa,North Goa,2018,28.02528901734104,17.6,36.8,2185.4,8.28231707317073,1009.9969512195122,0.0063713314701765,71.22257531512109,0.1467921801668658
Goa,North Goa,2019,27.85604395604396,15.9,36.0,4051.1,10.666483516483517,1009.5875690607736,0.0063713314701765,71.22257531512109,0.1473973416115177
Goa,North Goa,2020,27.75722713864307,15.8,36.8,4313.6,9.46913946587537,1009.41568627451,0.0063713314701765,71.22257531512109,0.1427232646133918
Goa,North Goa,2021,27.980821917808218,19.2,36.0,3023.8,9.435616438356163,1008.9419178082192,0.0063713314701765,71.22257531512109,0.151630043715527
Goa,North Goa,2022,27.819726027397262,17.6,38.6,2605.9,9.939669421487602,1008.741046831956,0.0063713314701765,71.22257531512109,0.1620415299541404
Goa,North Goa,2023,28.6572602739726,19.2,38.1,2328.6,15.88986301369863,1009.9561643835616,0.0063713314701765,71.22257531512109,0.1588418585529462
Goa,North Goa,2024,28.306420765027323,19.0,37.2,3751.3,14.35901639344262,1009.0494535519124,0.0063713314701765,71.22257531512109,0.1482915739021223
Goa,South Goa,2015,28.903125,19.9,36.6,2083.5,,,0.0041982583472109,211.35777355593052,0.2893456677993582
Goa,South Goa,2016,28.036419753086417,17.6,36.5,3010.3,,,0.0041982583472109,211.35777355593052,0.274706621580213
Goa,South Goa,2017,28.297727272727272,17.5,36.9,2679.7,,,0.0041982583472109,211.35777355593052,0.2684390498031512
Goa,South Goa,2018,28.060838150289012,17.6,36.8,2314.4,8.28231707317073,1009.9969512195122,0.0041982583472109,211.35777355593052,0.2650402810681499
Goa,South Goa,2019,27.91607142857143,17.1,36.9,4080.5,10.666483516483517,1009.5875690607736,0.0041982583472109,211.35777355593052,0.2640974237019007
Goa,South Goa,2020,27.747935103244835,15.8,36.8,4448.4,9.46913946587537,1009.41568627451,0.0041982583472109,211.35777355593052,0.2655359167063315
Goa,South Goa,2021,27.923013698630136,19.7,36.0,3295.5,11.35945205479452,1009.1230136986302,0.0041982583472109,211.35777355593052,0.2649855006013233
Goa,South Goa,2022,27.866986301369867,18.1,36.3,2765.6,11.701652892561984,1008.915702479339,0.0041982583472109,211.35777355593052,0.2780245182452108
Goa,South Goa,2023,28.513835616438357,18.4,37.8,2617.4,14.636164383561644,1010.0906849315068,0.0041982583472109,211.35777355593052,0.2739862011322364
Goa,South Goa,2024,28.38989071038252,19.6,36.2,3705.2,14.654918032786885,1009.2243169398906,0.0041982583472109,211.35777355593052,0.2630835864810917
Maharashtra,Sindhudurg,2015,28.574812030075183,17.6,36.6,2434.6,,,0.0037790065371252,145.36970527411776,0.2889830828015331
Maharashtra,Sindhudurg,2016,27.69620689655172,17.6,36.5,3016.6,,,0.0037790065371252,145.36970527411776,0.2395046144729804
Maharashtra,Sindhudurg,2017,28.03818770226537,17.5,36.9,2223.8,,,0.0037790065371252,145.36970527411776,0.2279445694927376
Maharashtra,Sindhudurg,2018,27.764119601328904,17.6,36.6,2266.0,,,0.0037790065371252,145.36970527411776,0.2145461944706545
Maharashtra,Sindhudurg,2019,27.865420560747665,15.9,36.0,3222.5,,,0.0037790065371252,145.36970527411776,0.2109121105180445
Maharashtra,Sindhudurg,2020,27.72117647058824,18.1,36.8,3299.6,,,0.0037790065371252,145.36970527411776,0.2049197138129634
Maharashtra,Sindhudurg,2021,26.93365384615385,17.6,35.8,3211.7,10.497252747252746,1009.2799450549452,0.0037790065371252,145.36970527411776,0.2164594916843157
Maharashtra,Sindhudurg,2022,26.92232876712329,16.0,37.3,2530.6,10.96253443526171,1009.0887052341598,0.0037790065371252,145.36970527411776,0.227970635920658
Maharashtra,Sindhudurg,2023,27.66780821917808,17.6,37.1,2176.7,15.435616438356163,1010.3484931506848,0.0037790065371252,145.36970527411776,0.2262203718947937
Maharashtra,Sindhudurg,2024,27.502808988764045,16.7,37.0,3329.0,15.561344537815126,1009.4745098039216,0.0037790065371252,145.36970527411776,0.2216387590663245
