,count,mean,std,min,25%,50%,75%,max
Temperature,78.0,27.424320264140167,1.8173119628417385,20.74862637362637,27.527526909640258,27.919542563600785,28.402757912494955,30.15
Min_Temperature,78.0,18.296153846153846,2.92403574105807,10.7,17.0,18.1,20.375,25.4
Max_Temperature,78.0,36.706410256410265,1.7504240483335316,31.8,36.05,36.8,37.175000000000004,42.1
Rainfall,78.0,2846.5858974358976,878.1052436293977,4.1,2317.575,2887.55,3298.85,4865.3
NDVI,78.0,0.35449801359219685,0.16063656304936286,0.1427232646133918,0.19129215540444292,0.2891643753004457,0.5157579041416909,0.6255356456244917
Forest_Loss,78.0,0.011157396921899454,0.006268249095146675,0.0037790065371252,0.0047415266279523,0.0089878245480117,0.016563322225584,0.0210771784153426
Elevation,78.0,372.25976229286533,273.0043809319146,71.22257531512109,99.18884767388496,211.3577735559305,651.7235297761591,890.5947155150526
Temperature_Range,78.0,18.41025641025641,3.198643776872006,9.800000000000004,16.325,18.450000000000003,19.95,27.1
