Validation,Balanced Accuracy,F1,ROC-AUC,PR-AUC
Spatial — Final V3,0.6521739130434783,0.6521739130434783,0.5189035916824196,0.5440174428595979
Temporal,0.8333333333333333,0.9090909090909092,0.8333333333333334,0.8333333333333334
