Model,Accuracy,Balanced_Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Decision Tree,0.5217391304347826,0.5217391304347826,0.5161290322580645,0.6956521739130435,0.5925925925925926,0.3648393194706995,0.46916115674881453
XGBoost,0.4782608695652174,0.4782608695652174,0.4827586206896552,0.6086956521739131,0.5384615384615384,0.4763705103969754,0.4855292209024727
Random Forest,0.43478260869565216,0.43478260869565216,0.4482758620689655,0.5652173913043478,0.5,0.30812854442344045,0.3996347926764417
Logistic Regression,0.391304347826087,0.3913043478260869,0.38095238095238093,0.34782608695652173,0.36363636363636365,0.42911153119092627,0.4381986017331442
Dummy Baseline,0.17391304347826086,0.17391304347826086,0.058823529411764705,0.043478260869565216,0.05,0.1739130434782609,0.48081841432225064
